step,train_loss,train_mean_token_accuracy,valid_loss,valid_mean_token_accuracy,full_valid_loss,full_valid_mean_token_accuracy
1,3.7908518314361572,0.3333333432674408,3.0217407317388627,0.38095238095238093,,
2,3.1595356464385986,0.3333333432674408,3.385529699779692,0.38095238095238093,,
3,3.191056728363037,0.380952388048172,2.592743782770066,0.38095238095238093,,
4,3.5094709396362305,0.380952388048172,2.25801454271589,0.38095238095238093,,
5,3.2107529640197754,0.380952388048172,2.75146974836077,0.38095238095238093,,
6,3.7859644889831543,0.3333333432674408,2.699631373087565,0.3333333333333333,,
7,1.8792773485183716,0.523809552192688,2.3681102026076544,0.38095238095238093,,
8,3.18437123298645,0.3333333432674408,2.843640372866676,0.47619047619047616,,
9,3.0737195014953613,0.380952388048172,2.993455160231817,0.3333333333333333,,
10,1.721907138824463,0.380952388048172,1.584614254179455,0.47619047619047616,,
11,1.3286746740341187,0.5714285969734192,1.775916508265904,0.47619047619047616,,
12,1.2518221139907837,0.523809552192688,1.4325340815952845,0.5714285714285714,,
13,1.8549444675445557,0.5714285969734192,2.073490687779018,0.6666666666666666,,
14,1.9426287412643433,0.6190476417541504,1.530162220909482,0.7142857142857143,,
15,0.661608099937439,0.761904776096344,0.5980286371140253,0.7142857142857143,,
16,0.8582232594490051,0.8571428656578064,0.3101371583484468,0.9047619047619048,,
17,0.6099405884742737,0.761904776096344,0.3603872571672712,0.8571428571428571,,
18,0.786065399646759,0.7142857313156128,0.4868376595633371,0.8095238095238095,,
19,0.8179730176925659,0.6190476417541504,0.4197826385498047,0.8095238095238095,,
20,0.46651148796081543,0.8095238208770752,0.2742660159156436,0.8095238095238095,,
21,0.21430987119674683,0.9523809552192688,0.20373380751836867,0.9523809523809523,,
22,0.3665403723716736,0.8571428656578064,0.2828622545514788,0.8095238095238095,,
23,0.20344997942447662,0.9047619104385376,0.1763711656842913,0.9047619047619048,,
24,0.2906688451766968,0.8095238208770752,0.22346160525367373,0.8571428571428571,,
25,0.21786272525787354,0.8571428656578064,0.19148663112095424,0.8571428571428571,,
26,0.22581073641777039,0.8095238208770752,0.23224667140415736,0.8571428571428571,,
27,0.3407271206378937,0.8095238208770752,0.17709559486025855,0.9047619047619048,,
