step,train_loss,train_mean_token_accuracy,valid_loss,valid_mean_token_accuracy,full_valid_loss,full_valid_mean_token_accuracy
1,3.6638431549072266,0.3333333432674408,2.3809923444475447,0.38095238095238093,,
2,2.5389819145202637,0.380952388048172,3.030375526064918,0.47619047619047616,,
3,2.599891185760498,0.380952388048172,4.075884364900135,0.3333333333333333,,
4,3.248591423034668,0.4285714328289032,2.7120913550967263,0.42857142857142855,,
5,3.975900173187256,0.3333333432674408,2.579666183108375,0.42857142857142855,,
6,2.6901214122772217,0.380952388048172,3.2872645060221353,0.38095238095238093,,
7,3.171052932739258,0.3333333432674408,2.3461449032738093,0.38095238095238093,,
8,2.332608222961426,0.4761904776096344,3.1624734969366166,0.3333333333333333,,
9,1.6281404495239258,0.4285714328289032,2.4681439172653925,0.42857142857142855,,
10,2.1009504795074463,0.4761904776096344,2.105779557001023,0.47619047619047616,,
11,1.482370138168335,0.4285714328289032,1.305572509765625,0.6190476190476191,,
12,1.247878074645996,0.523809552192688,1.0487788972400485,0.5714285714285714,,
13,1.1836988925933838,0.6190476417541504,0.9025956108456566,0.6190476190476191,,
14,1.974400520324707,0.7142857313156128,1.5452576591855003,0.6666666666666666,,
15,1.2572288513183594,0.7142857313156128,0.5185136340913319,0.7619047619047619,,
16,1.2161214351654053,0.6666666865348816,0.45352617899576825,0.8095238095238095,,
17,1.0801200866699219,0.6666666865348816,0.8422371092296782,0.6666666666666666,,
18,0.4264625310897827,0.761904776096344,0.6680484045119512,0.6666666666666666,,
19,0.39921334385871887,0.8571428656578064,0.3029240199497768,0.8095238095238095,,
20,0.47541046142578125,0.8095238208770752,0.32852708725702195,0.8095238095238095,,
21,0.24848157167434692,0.8571428656578064,0.26881626674107145,0.8095238095238095,,
22,0.30482029914855957,0.8571428656578064,0.2769835335867746,0.7619047619047619,,
23,0.32043638825416565,0.8571428656578064,0.26708094278971356,0.8571428571428571,,
24,0.27953609824180603,0.761904776096344,0.25480442955380395,0.8571428571428571,,
25,0.21791303157806396,0.8571428656578064,0.26782562619163874,0.8095238095238095,,
26,0.3234771490097046,0.8095238208770752,0.31016685849144343,0.7619047619047619,,
27,0.22741863131523132,0.8571428656578064,0.2718102591378348,0.7619047619047619,,
28,0.337997704744339,0.761904776096344,0.24767367045084634,0.8095238095238095,,
29,0.2914265990257263,0.8095238208770752,0.36746624537876676,0.7619047619047619,,
30,0.20539401471614838,0.8571428656578064,0.3855506352015904,0.7619047619047619,,
31,0.3161802887916565,0.7142857313156128,0.34154637654622394,0.8095238095238095,,
32,0.289991557598114,0.7142857313156128,0.24789419628324963,0.9047619047619048,,
33,0.17976561188697815,0.9047619104385376,0.31772023155575707,0.7619047619047619,,
34,0.2571589946746826,0.9523809552192688,0.34444472903297063,0.7142857142857143,,
35,0.16782525181770325,0.9523809552192688,0.3069656008765811,0.8095238095238095,,
36,0.28111040592193604,0.8571428656578064,0.30306561787923175,0.8571428571428571,,
37,0.2495560348033905,0.8095238208770752,0.41435450599307105,0.7142857142857143,,
38,0.2796444594860077,0.8571428656578064,0.4045218513125465,0.7619047619047619,,
39,0.2782617211341858,0.8095238208770752,0.30064046950567336,0.8571428571428571,,
40,0.283504843711853,0.8571428656578064,0.3124958219982329,0.8571428571428571,,
41,0.2267027348279953,0.8095238208770752,0.3053986685616629,0.7619047619047619,,
42,0.20193645358085632,0.9047619104385376,0.19878133138020834,0.8571428571428571,,
43,0.1196172833442688,1,0.23243086678641184,0.8571428571428571,,
44,0.35907337069511414,0.7142857313156128,0.30834706624348956,0.7142857142857143,,
45,0.24216188490390778,0.8571428656578064,0.1870224362327939,0.9047619047619048,,
46,0.28299403190612793,0.761904776096344,0.22116688319614955,0.8571428571428571,,
47,0.27902594208717346,0.8095238208770752,0.21367926824660527,0.8571428571428571,,
48,0.23762521147727966,0.8571428656578064,0.22318331400553384,0.8095238095238095,,
49,0.2689743936061859,0.8095238208770752,0.19595382327125185,0.9047619047619048,,
50,0.24848465621471405,0.761904776096344,0.25279308500744047,0.8095238095238095,,
51,0.20343099534511566,0.8571428656578064,0.222851072038923,0.8571428571428571,,
52,0.20892415940761566,0.8571428656578064,0.2669214521135603,0.8571428571428571,,
53,0.3108128011226654,0.761904776096344,0.26958756219773067,0.8095238095238095,,
54,0.26743844151496887,0.8571428656578064,0.2541601090204148,0.8571428571428571,,
55,0.26589474081993103,0.7142857313156128,0.25895482017880395,0.8571428571428571,,
56,0.21617090702056885,0.9047619104385376,0.20829927353631883,0.9047619047619048,,
57,0.23147447407245636,0.8095238208770752,0.2785083225795201,0.7619047619047619,,
58,0.2215469926595688,0.8571428656578064,0.36226472400483634,0.7142857142857143,,
59,0.2554718255996704,0.8095238208770752,0.23729160853794642,0.8095238095238095,,
60,0.214967280626297,0.8571428656578064,0.1910809108189174,0.9047619047619048,,
61,0.1944947987794876,0.9523809552192688,0.22804478236607142,0.8095238095238095,,
62,0.2800421118736267,0.8095238208770752,0.20051556541806176,0.9047619047619048,,
63,0.2172783464193344,0.8571428656578064,0.2565733591715495,0.8095238095238095,,
64,0.23218409717082977,0.8095238208770752,0.22271546863374256,0.8571428571428571,,
65,0.2944822907447815,0.8571428656578064,0.28470375424339656,0.8095238095238095,,
66,0.20612089335918427,0.8571428656578064,0.3689797719319661,0.7142857142857143,,
