step,train_loss,train_mean_token_accuracy,valid_loss,valid_mean_token_accuracy,full_valid_loss,full_valid_mean_token_accuracy
1,3.7491047382354736,0.3333333432674408,2.416741144089472,0.47619047619047616,,
2,2.4814209938049316,0.380952388048172,3.5979441688174294,0.3333333333333333,,
3,2.3663198947906494,0.380952388048172,3.522414525349935,0.3333333333333333,,
4,2.679993152618408,0.380952388048172,3.0318361009870256,0.38095238095238093,,
5,2.4284422397613525,0.380952388048172,2.117170878819057,0.47619047619047616,,
6,2.2016842365264893,0.380952388048172,2.084617705572219,0.47619047619047616,,
7,2.1859498023986816,0.380952388048172,2.597582317533947,0.38095238095238093,,
8,2.627713680267334,0.380952388048172,3.1885743822370256,0.38095238095238093,,
9,1.7835578918457031,0.523809552192688,2.7875465211414157,0.5238095238095238,,
10,2.525456428527832,0.3333333432674408,2.2986326671781994,0.5238095238095238,,
11,1.6622470617294312,0.523809552192688,1.5183406103224981,0.38095238095238093,,
12,1.9173206090927124,0.4285714328289032,1.1940846216110956,0.5238095238095238,,
13,0.9897947907447815,0.5714285969734192,1.0631194341750372,0.6666666666666666,,
14,1.6646655797958374,0.6666666865348816,1.1447001411801292,0.8571428571428571,,
15,0.5936592817306519,0.761904776096344,1.4382169814336867,0.6666666666666666,,
16,0.5809508562088013,0.761904776096344,0.39986410595121835,0.8095238095238095,,
17,0.4024699926376343,0.8095238208770752,0.2825496310279483,0.9047619047619048,,
18,0.761922299861908,0.8095238208770752,0.6419452485584077,0.7142857142857143,,
19,0.5987713932991028,0.7142857313156128,0.46598561604817706,0.7619047619047619,,
20,0.45350974798202515,0.8095238208770752,0.42373511904761907,0.8095238095238095,,
21,0.30497613549232483,0.8095238208770752,0.22195797874813988,0.9523809523809523,,
22,0.5676289796829224,0.6666666865348816,0.2650658743722098,0.9047619047619048,,
23,0.3413065969944,0.761904776096344,0.29862394787016366,0.8571428571428571,,
24,0.1426554173231125,0.9523809552192688,0.297320320492699,0.7619047619047619,,
25,0.2796967029571533,0.8571428656578064,0.2529485793340774,0.9047619047619048,,
26,0.2583048641681671,0.8571428656578064,0.25707017807733445,0.7619047619047619,,
27,0.1783708781003952,0.9523809552192688,0.20150511605398996,0.8571428571428571,,
28,0.3177753686904907,0.761904776096344,0.22159830729166666,0.9047619047619048,,
29,0.2340564727783203,0.9047619104385376,0.19515646071661086,0.9047619047619048,,
30,0.32003748416900635,0.761904776096344,0.1860030038016183,0.8571428571428571,,
31,0.3171738088130951,0.8095238208770752,0.2783901577904111,0.8571428571428571,,
32,0.282728910446167,0.8095238208770752,0.20057632809593565,0.9047619047619048,,
33,0.17933745682239532,0.9047619104385376,0.22906839279901414,0.9047619047619048,,
34,0.29742223024368286,0.8571428656578064,0.18982142493838355,0.9047619047619048,,
35,0.23902766406536102,0.8571428656578064,0.15233194260370164,1,,
36,0.2714170813560486,0.8571428656578064,0.24954959324428014,0.8095238095238095,,
37,0.32567378878593445,0.761904776096344,0.19000235058012463,0.9047619047619048,,
38,0.22627167403697968,0.9047619104385376,0.3545939127604167,0.7142857142857143,,
39,0.2640824019908905,0.8571428656578064,0.31274241492861793,0.8095238095238095,,
40,0.11240232735872269,0.9523809552192688,0.22773470197405135,0.8095238095238095,,
41,0.20328167080879211,0.9047619104385376,0.21989404587518602,0.9523809523809523,,
42,0.1457151621580124,0.9523809552192688,0.2653421674455915,0.8571428571428571,,
43,0.2791881561279297,0.8095238208770752,0.23596790858677455,0.9047619047619048,,
44,0.22372671961784363,0.8571428656578064,0.30265045166015625,0.8095238095238095,,
45,0.1717769056558609,0.9047619104385376,0.2412700653076172,0.8095238095238095,,
46,0.22652599215507507,0.8095238208770752,0.21217754908970424,0.8095238095238095,,
47,0.34810328483581543,0.761904776096344,0.2602870577857608,0.8571428571428571,,
48,0.18075725436210632,0.9047619104385376,0.32028052920386907,0.7619047619047619,,
